Designation	Field	Group	Date	Trap	Time	Count	Xcoord	Ycoord	Distance	Direction	Radians	Nrelease
ag20	1	1	1	3	19	0	71	42	35.51056181	80.27242145	1.401018053	200
ag26	1	1	1	3	19	0	71	54	39.35733731	62.78388844	1.095785571	200
ag32	1	1	1	3	19	0	71	66	46.09772229	49.39870535	0.862170055	200
a2	1	1	1	3	47	0	1	6	46.09772229	229.3987054	4.003762708	200
a8	1	1	1	3	47	0	1	18	39.35733731	242.7838884	4.237378224	200
a14	1	1	1	3	47	0	1	30	35.51056181	260.2724214	4.542610706	200
a20	1	1	1	3	47	0	1	42	35.51056181	279.7275786	4.882167254	200
a26	1	1	1	3	47	0	1	54	39.35733731	297.2161116	5.187399737	200
a32	1	1	1	3	47	0	1	66	46.09772229	310.6012946	5.421015253	200
b1	1	1	1	3	47	0	6	1	46.09772229	-139.3987054	-2.432966381	200
b33	1	1	1	3	47	0	6	71	46.09772229	319.3987054	5.574559035	200
h1	1	1	1	3	47	0	18	1	39.35733731	-152.7838884	-2.666581897	200
h33	1	1	1	3	47	0	18	71	39.35733731	332.7838884	5.808174551	200
n1	1	1	1	3	47	0	30	1	35.51056181	-170.2724214	-2.97181438	200
n33	1	1	1	3	47	0	30	71	35.51056181	350.2724214	6.113407033	200
t1	1	1	1	3	47	0	42	1	35.51056181	170.2724214	2.97181438	200
t33	1	1	1	3	47	0	42	71	35.51056181	369.7275786	6.452963581	200
z1	1	1	1	3	47	0	54	1	39.35733731	152.7838884	2.666581897	200
z33	1	1	1	3	47	0	54	71	39.35733731	387.2161116	6.758196063	200
af1	1	1	1	3	47	0	66	1	46.09772229	139.3987054	2.432966381	200
af33	1	1	1	3	47	0	66	71	46.09772229	400.6012946	6.991811579	200
ag2	1	1	1	3	47	0	71	6	46.09772229	130.6012946	2.279422599	200
ag8	1	1	1	3	47	1	71	18	39.35733731	117.2161116	2.045807083	200
ag14	1	1	1	3	47	0	71	30	35.51056181	99.72757855	1.740574601	200
ag20	1	1	1	3	47	0	71	42	35.51056181	80.27242145	1.401018053	200
ag26	1	1	1	3	47	0	71	54	39.35733731	62.78388844	1.095785571	200
ag32	1	1	1	3	47	0	71	66	46.09772229	49.39870535	0.862170055	200
a2	1	1	1	3	70	0	1	6	46.09772229	229.3987054	4.003762708	200
a8	1	1	1	3	70	0	1	18	39.35733731	242.7838884	4.237378224	200
a14	1	1	1	3	70	0	1	30	35.51056181	260.2724214	4.542610706	200
a20	1	1	1	3	70	0	1	42	35.51056181	279.7275786	4.882167254	200
a26	1	1	1	3	70	0	1	54	39.35733731	297.2161116	5.187399737	200
a32	1	1	1	3	70	0	1	66	46.09772229	310.6012946	5.421015253	200
b1	1	1	1	3	70	0	6	1	46.09772229	-139.3987054	-2.432966381	200
b33	1	1	1	3	70	0	6	71	46.09772229	319.3987054	5.574559035	200
h1	1	1	1	3	70	0	18	1	39.35733731	-152.7838884	-2.666581897	200
h33	1	1	1	3	70	0	18	71	39.35733731	332.7838884	5.808174551	200
n1	1	1	1	3	70	0	30	1	35.51056181	-170.2724214	-2.97181438	200
n33	1	1	1	3	70	0	30	71	35.51056181	350.2724214	6.113407033	200
t1	1	1	1	3	70	0	42	1	35.51056181	170.2724214	2.97181438	200
t33	1	1	1	3	70	0	42	71	35.51056181	369.7275786	6.452963581	200
z1	1	1	1	3	70	0	54	1	39.35733731	152.7838884	2.666581897	200
z33	1	1	1	3	70	0	54	71	39.35733731	387.2161116	6.758196063	200
af1	1	1	1	3	70	0	66	1	46.09772229	139.3987054	2.432966381	200
af33	1	1	1	3	70	0	66	71	46.09772229	400.6012946	6.991811579	200
ag2	1	1	1	3	70	0	71	6	46.09772229	130.6012946	2.279422599	200
ag8	1	1	1	3	70	0	71	18	39.35733731	117.2161116	2.045807083	200
ag14	1	1	1	3	70	0	71	30	35.51056181	99.72757855	1.740574601	200
ag20	1	1	1	3	70	0	71	42	35.51056181	80.27242145	1.401018053	200
ag26	1	1	1	3	70	0	71	54	39.35733731	62.78388844	1.095785571	200
ag32	1	1	1	3	70	0	71	66	46.09772229	49.39870535	0.862170055	200
a2	1	1	1	3	91	0	1	6	46.09772229	229.3987054	4.003762708	200
a8	1	1	1	3	91	0	1	18	39.35733731	242.7838884	4.237378224	200
a14	1	1	1	3	91	0	1	30	35.51056181	260.2724214	4.542610706	200
a20	1	1	1	3	91	0	1	42	35.51056181	279.7275786	4.882167254	200
a26	1	1	1	3	91	0	1	54	39.35733731	297.2161116	5.187399737	200
a32	1	1	1	3	91	0	1	66	46.09772229	310.6012946	5.421015253	200
b1	1	1	1	3	91	0	6	1	46.09772229	-139.3987054	-2.432966381	200
b33	1	1	1	3	91	1	6	71	46.09772229	319.3987054	5.574559035	200
h1	1	1	1	3	91	0	18	1	39.35733731	-152.7838884	-2.666581897	200
h33	1	1	1	3	91	0	18	71	39.35733731	332.7838884	5.808174551	200
n1	1	1	1	3	91	0	30	1	35.51056181	-170.2724214	-2.97181438	200
n33	1	1	1	3	91	0	30	71	35.51056181	350.2724214	6.113407033	200
t1	1	1	1	3	91	0	42	1	35.51056181	170.2724214	2.97181438	200
t33	1	1	1	3	91	0	42	71	35.51056181	369.7275786	6.452963581	200
z1	1	1	1	3	91	0	54	1	39.35733731	152.7838884	2.666581897	200
z33	1	1	1	3	91	0	54	71	39.35733731	387.2161116	6.758196063	200
af1	1	1	1	3	91	0	66	1	46.09772229	139.3987054	2.432966381	200
af33	1	1	1	3	91	0	66	71	46.09772229	400.6012946	6.991811579	200
ag2	1	1	1	3	91	0	71	6	46.09772229	130.6012946	2.279422599	200
ag8	1	1	1	3	91	0	71	18	39.35733731	117.2161116	2.045807083	200
ag14	1	1	1	3	91	0	71	30	35.51056181	99.72757855	1.740574601	200
ag20	1	1	1	3	91	0	71	42	35.51056181	80.27242145	1.401018053	200
ag26	1	1	1	3	91	0	71	54	39.35733731	62.78388844	1.095785571	200
ag32	1	1	1	3	91	0	71	66	46.09772229	49.39870535	0.862170055	200
a2	1	1	1	3	105	0	1	6	46.09772229	229.3987054	4.003762708	200
a8	1	1	1	3	105	0	1	18	39.35733731	242.7838884	4.237378224	200
a14	1	1	1	3	105	0	1	30	35.51056181	260.2724214	4.542610706	200
a20	1	1	1	3	105	0	1	42	35.51056181	279.7275786	4.882167254	200
a26	1	1	1	3	105	0	1	54	39.35733731	297.2161116	5.187399737	200
a32	1	1	1	3	105	0	1	66	46.09772229	310.6012946	5.421015253	200
b1	1	1	1	3	105	0	6	1	46.09772229	-139.3987054	-2.432966381	200
b33	1	1	1	3	105	0	6	71	46.09772229	319.3987054	5.574559035	200
h1	1	1	1	3	105	0	18	1	39.35733731	-152.7838884	-2.666581897	200
